ArticleID,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,llm_readability
79,8,8,7,10,10,10,8,6,1,1,7,9,1,1,1,6
80,5,4,4,4,5,7,7,3,1,1,6,8,1,1,1,4
81,1,3,7,4,5,5,10,3,1,3,1,9,1,1,1,4
82,10,9,8,10,5,9,7,3,1,5,7,9,1,1,3,4
83,1,3,4,8,10,6,3,5,1,1,1,9,1,1,1,5
84,8,10,9,9,10,10,9,7,1,8,2,7,2,3,2,8
85,10,10,10,10,10,10,7,5,1,8,7,9,1,2,2,6
86,4,10,6,7,10,7,9,7,1,1,1,8,1,2,3,7
87,8,10,10,10,10,10,9,9,1,1,8,7,2,2,1,8
88,9,10,10,6,10,9,8,7,1,3,6,8,1,2,3,6
89,3,9,9,10,10,9,9,6,1,9,8,8,3,1,2,6
90,6,8,8,6,10,8,9,3,1,10,5,9,1,3,1,5
91,9,10,10,10,10,9,1,3,1,1,4,9,1,1,1,3
92,9,10,10,6,10,9,8,6,1,4,3,8,1,1,1,6
93,2,8,9,10,10,8,4,3,1,1,1,9,1,2,5,4
94,9,10,9,4,10,9,5,7,1,6,6,9,1,3,3,7
95,2,8,5,4,5,8,2,2,1,6,7,9,1,6,6,5
96,9,10,10,10,10,10,9,4,1,6,2,9,1,1,1,6
97,10,7,7,6,10,8,8,6,1,1,1,9,1,3,2,6
98,4,8,7,5,10,8,8,4,1,8,1,9,1,1,1,5
99,8,10,9,10,10,9,7,4,1,6,1,7,1,1,1,6
100,5,7,8,10,10,7,5,6,1,1,1,7,1,3,1,8
101,7,10,10,10,5,9,8,7,1,9,1,9,1,1,5,7
102,10,9,7,4,10,9,8,6,3,1,5,9,1,4,1,6
103,9,10,10,10,5,10,5,8,1,1,1,9,1,1,3,7
104,9,8,7,9,10,9,8,8,1,1,4,9,1,1,1,7
105,1,7,9,8,5,8,10,8,1,10,1,7,1,1,5,8
106,2,9,9,6,10,10,5,7,1,1,1,8,1,5,2,7
107,5,10,10,10,10,9,10,9,1,1,1,7,1,1,1,8
108,5,8,9,10,5,7,5,6,1,3,1,6,1,1,5,8
109,3,9,10,10,10,8,8,3,1,7,2,9,1,1,2,6
110,9,8,10,10,10,8,3,5,1,1,1,8,1,1,1,6
111,10,10,10,3,10,10,10,4,1,10,3,9,1,1,1,5
112,8,8,9,9,10,8,5,8,1,4,5,9,1,1,5,7
113,1,7,7,8,10,8,6,7,1,7,2,8,1,2,5,6
114,10,10,10,10,10,10,9,9,1,9,1,9,1,1,5,7
115,10,6,4,3,10,8,9,3,1,9,2,8,1,2,1,4
116,5,10,10,7,10,9,3,8,1,1,1,9,1,1,1,6
117,5,9,9,10,5,9,9,7,1,9,1,7,1,1,4,8
118,9,8,8,9,10,8,8,6,1,1,5,9,1,2,1,6
119,8,10,10,10,10,9,8,7,1,9,2,9,1,1,3,6
120,9,9,8,9,5,9,10,6,1,9,3,6,1,1,5,8
121,5,10,10,10,10,10,10,3,1,10,7,7,1,1,1,6
122,9,9,10,3,10,10,8,3,1,8,3,9,1,1,1,5
123,5,10,8,10,10,9,8,6,1,9,1,8,1,1,2,7
124,7,9,8,9,5,7,9,3,1,6,1,8,1,1,1,4
125,5,10,10,3,10,9,8,6,1,10,1,9,1,1,1,5
126,6,10,8,10,10,9,6,3,1,6,3,9,1,2,1,5
127,9,8,8,9,10,8,5,6,1,1,3,9,1,2,1,6
128,5,10,9,10,10,9,10,8,1,6,3,9,1,1,1,5
129,8,10,9,10,10,10,10,6,1,10,1,9,1,1,5,7
130,8,8,6,9,10,9,5,3,1,2,6,9,2,2,4,4
131,9,10,10,8,10,10,10,9,1,9,1,9,1,2,2,6
132,8,10,10,4,10,9,2,6,1,3,6,9,1,1,1,5
133,2,7,8,9,10,8,9,3,1,9,7,9,1,4,1,6
134,9,10,10,9,10,10,7,6,1,1,2,8,1,1,1,6
135,9,8,7,6,10,9,9,7,1,7,1,8,1,1,1,7
136,9,10,10,10,10,9,3,3,1,1,6,8,1,2,2,6
137,1,8,9,10,10,10,5,9,1,1,1,1,1,1,1,9
138,4,10,10,10,10,7,3,9,1,3,1,9,1,1,4,7
139,10,10,8,5,5,9,7,6,1,3,1,7,1,2,1,7
140,6,10,10,10,10,9,8,6,1,7,7,7,1,1,2,7
141,5,10,10,10,10,9,2,8,1,1,1,8,1,1,5,8
142,5,10,10,8,10,9,8,7,1,10,4,8,1,3,4,7
143,5,9,9,10,10,9,9,3,1,8,1,9,1,1,1,3
144,7,8,10,10,10,8,8,6,1,1,4,9,1,1,1,6
145,2,7,6,4,10,8,3,8,1,1,1,9,1,1,1,6
146,5,6,7,8,10,8,8,8,1,1,5,8,1,1,3,7
147,9,7,8,10,10,9,8,8,1,9,7,7,1,1,3,8
148,3,10,10,10,10,9,7,6,1,10,1,7,1,1,1,7
149,9,7,6,5,10,9,9,3,1,7,1,8,1,1,2,5
150,1,8,8,4,10,7,6,3,1,6,3,9,1,1,1,4
151,9,8,9,6,10,8,10,7,1,9,1,9,1,3,1,6
152,4,4,4,4,10,6,2,3,1,1,1,8,1,1,1,4
153,1,3,4,4,5,4,5,6,1,1,1,6,1,1,3,8
154,5,10,8,10,5,8,5,3,1,1,1,9,1,1,1,4
155,8,10,10,10,10,10,9,9,1,1,1,9,1,3,5,7
156,10,10,10,10,10,10,10,6,1,10,6,9,1,3,1,7
157,5,5,9,10,10,8,7,3,1,3,1,9,1,1,1,4
158,5,10,10,10,10,9,3,5,1,1,1,6,1,1,1,8
159,8,8,7,10,5,8,9,7,1,1,1,7,1,1,3,8
160,9,9,9,8,10,9,8,7,1,8,2,9,1,1,1,6
161,3,10,8,6,10,9,1,4,1,1,7,9,1,1,1,5
162,5,7,8,10,10,6,8,3,1,1,3,7,1,1,1,5
163,9,9,10,10,10,9,9,6,1,6,8,9,1,1,1,6
164,9,10,8,10,10,9,10,6,1,3,1,8,1,3,1,6
165,1,7,7,5,10,8,9,6,1,7,5,8,1,4,3,7
166,5,8,7,7,10,8,2,4,1,1,1,9,1,4,1,6
167,9,10,10,10,10,9,4,6,1,1,1,8,1,1,1,6
168,9,10,10,6,10,9,2,2,1,1,1,9,1,1,1,4
169,5,10,10,8,5,9,5,6,1,1,7,9,1,3,2,7
170,9,9,9,7,10,9,10,8,1,10,1,7,1,1,3,8
171,3,10,9,7,10,9,10,6,1,9,1,9,1,1,3,6
172,9,10,10,9,10,10,5,8,1,3,1,8,1,1,1,6
173,10,10,10,10,5,10,10,6,1,9,1,9,1,1,1,7
174,2,8,7,10,10,9,9,4,1,10,3,8,1,6,4,6
175,5,10,7,4,5,9,2,3,1,1,8,8,1,1,3,5
176,6,10,10,10,10,10,9,8,1,6,1,8,1,1,1,6
177,6,10,10,9,5,9,4,2,1,3,7,9,1,1,1,4
178,7,10,10,10,10,9,8,8,1,7,5,8,1,1,1,7
179,1,8,4,4,10,9,4,7,1,1,2,9,1,1,1,6
180,10,10,9,10,10,10,10,3,1,6,2,9,1,1,1,4
181,3,6,4,3,5,8,6,3,1,6,6,9,1,4,1,6
182,5,8,7,9,10,8,3,8,1,1,1,8,1,1,1,6
183,9,9,8,10,10,9,8,7,3,10,4,6,1,1,5,8
184,7,10,9,4,5,9,5,2,1,5,3,9,2,1,2,4
185,8,8,9,10,10,9,9,6,1,9,6,7,2,1,1,7
186,1,8,7,4,10,6,3,3,1,6,1,8,1,2,1,5
187,9,10,10,10,10,8,2,3,1,1,1,9,1,1,3,5
188,9,7,8,6,5,8,5,8,1,1,1,6,2,3,2,8
189,6,7,8,8,5,7,5,3,1,1,1,8,1,1,1,6
190,8,9,8,9,10,9,5,3,1,2,3,9,3,2,6,5
191,3,8,7,3,10,8,5,6,1,1,6,9,1,2,1,6
192,1,6,8,5,5,6,8,3,1,8,1,8,1,1,5,5
193,1,3,7,10,5,7,5,3,1,3,4,8,1,6,2,6
194,9,8,7,6,5,8,9,3,1,9,1,9,1,1,1,5
195,5,6,4,9,5,7,10,7,1,6,1,8,1,1,1,6
196,8,10,10,10,10,9,8,6,1,1,1,9,1,1,1,5
197,9,8,10,10,10,9,3,7,1,1,7,8,1,1,1,8
198,6,10,9,9,10,7,9,7,1,6,1,9,1,3,2,7
199,1,9,10,10,10,9,5,6,1,1,4,9,1,1,1,5
200,9,9,8,9,10,9,4,3,1,1,1,9,1,1,1,4
201,2,9,8,10,10,9,7,4,1,3,7,9,2,2,2,5
202,9,9,8,10,10,9,8,6,1,1,6,8,1,3,5,7
203,9,10,10,10,10,10,10,9,1,10,6,8,1,1,5,7
204,9,10,10,10,10,9,6,6,1,1,1,8,1,1,2,6
205,1,7,10,10,10,8,7,3,1,1,1,8,1,1,1,6
206,2,4,3,7,10,7,6,6,1,3,1,8,1,2,1,7
207,5,9,9,9,10,9,10,3,1,10,4,9,1,1,1,4
208,8,8,10,4,10,9,8,3,1,2,1,9,1,1,1,4
209,9,6,6,2,5,8,6,3,1,8,5,9,2,2,2,5
210,10,10,9,10,10,10,1,6,1,3,1,7,1,1,1,7
211,5,10,10,3,10,9,5,4,1,1,1,9,1,1,1,4
212,10,10,9,4,10,10,10,3,1,1,1,10,1,1,1,3
213,1,4,7,3,5,8,8,6,1,1,1,7,1,3,1,7
214,5,7,8,6,5,7,10,8,1,8,1,9,1,4,1,6
215,8,9,10,10,10,8,8,6,1,9,1,8,1,1,5,7
216,9,10,10,10,10,9,2,2,1,1,8,9,1,1,1,3
217,10,10,10,7,10,9,6,4,1,1,1,9,1,2,6,6
218,5,9,8,5,10,9,10,8,1,9,1,9,1,1,1,7
219,3,10,10,9,5,6,5,2,1,1,1,9,1,1,1,5
220,7,10,10,6,5,9,2,5,1,1,4,9,1,7,2,6
221,2,6,7,8,10,8,3,6,1,1,1,9,1,3,1,6
222,1,9,10,10,10,8,3,4,1,1,7,9,1,1,3,6
223,10,10,9,10,10,10,8,3,1,1,2,8,1,2,2,4
224,10,9,7,6,10,9,5,7,1,7,1,9,1,1,1,6
225,5,10,10,10,10,8,3,8,1,1,1,9,1,1,1,6
226,10,9,9,10,10,9,6,7,1,4,6,9,2,1,1,7
227,3,10,10,4,10,8,8,6,1,4,4,9,1,1,1,7
228,6,10,10,2,10,9,5,6,1,3,1,8,1,1,1,6
229,10,10,10,4,10,10,8,8,1,9,1,9,1,1,1,6
230,9,10,10,6,10,9,5,4,1,1,8,9,1,2,3,6
231,2,10,10,10,10,9,9,5,2,1,1,9,1,1,2,5
232,3,7,7,4,10,8,9,8,1,6,1,6,1,1,3,8
233,5,8,7,6,5,8,9,6,1,9,3,8,1,1,4,7
234,5,7,6,10,10,7,3,7,1,1,1,3,1,1,1,8
235,2,9,8,10,10,9,8,4,1,9,7,9,1,1,1,6
236,3,8,9,9,10,8,7,7,1,7,1,8,1,1,1,7
237,10,10,10,6,5,9,10,4,1,1,2,9,2,1,1,6
238,3,9,7,5,10,8,8,6,1,6,1,8,1,1,1,6
239,6,7,6,4,10,6,5,3,1,1,3,8,1,2,1,5
240,9,10,10,7,10,9,6,6,1,1,1,8,1,1,3,5
241,9,10,9,3,5,9,5,6,1,3,1,8,1,2,1,7
242,2,6,4,3,8,8,4,3,1,1,1,9,1,1,1,4
243,8,7,7,10,10,9,9,3,1,10,1,9,1,1,1,5
244,5,10,10,10,10,10,1,6,1,1,1,9,1,1,1,5
245,7,10,10,10,10,9,1,7,1,1,4,9,1,1,5,7
246,2,7,5,10,5,8,6,3,1,1,1,9,1,5,5,4
247,8,10,10,10,10,9,10,9,1,1,7,4,1,1,6,9
248,2,8,10,10,10,9,8,8,1,8,5,9,1,2,1,7
249,10,10,7,4,10,9,10,3,1,10,1,9,1,1,2,6
250,4,7,10,2,10,7,9,6,1,1,1,8,1,1,1,5
251,5,10,9,7,5,9,10,8,1,4,1,8,1,1,1,6
252,9,10,10,10,5,9,10,7,1,1,1,9,1,1,1,5
253,9,10,10,10,10,9,1,4,1,1,1,9,1,2,5,5
254,9,9,7,10,10,8,10,5,1,6,1,6,1,1,1,7
255,9,10,10,4,5,10,7,3,1,10,5,9,3,1,1,4
256,8,10,10,8,10,10,9,5,1,9,8,9,1,1,1,6
257,5,10,10,10,10,10,10,3,1,1,1,9,1,1,1,4
258,7,8,9,6,5,9,7,3,1,9,4,9,1,2,5,6
259,9,8,7,3,10,9,8,5,1,1,1,9,1,1,1,6
260,10,10,10,10,10,10,2,3,1,1,4,8,1,1,1,5
261,9,8,8,10,5,9,7,7,1,9,1,6,1,5,1,8
262,10,10,9,10,5,10,5,3,1,1,4,9,1,1,1,4
263,2,10,10,8,10,9,6,4,1,1,7,8,2,1,2,6
264,10,10,9,4,10,9,3,6,1,1,1,8,1,1,2,7
265,8,8,7,7,10,8,9,3,1,1,5,9,1,1,1,5
266,8,3,2,2,10,8,9,3,1,7,6,9,1,1,3,4
267,2,3,3,10,10,6,8,5,1,7,1,8,1,2,1,6
268,1,6,9,10,5,6,8,7,1,1,5,8,1,1,1,6
269,3,7,6,10,5,8,8,4,1,7,4,7,1,1,1,6
270,5,8,6,2,5,8,10,6,3,8,2,6,1,1,1,7
271,5,10,10,10,10,9,8,6,1,1,4,7,1,1,1,7
272,10,10,6,10,10,9,7,5,1,1,1,8,1,1,4,5
273,5,10,10,10,10,7,1,9,1,1,6,9,1,1,1,5
274,7,6,3,3,10,8,5,3,1,1,2,9,1,5,4,6
275,5,8,7,3,5,8,3,3,1,2,8,9,1,5,2,6
276,3,9,7,7,5,7,4,6,1,1,2,9,1,2,5,7
277,9,9,7,2,10,9,7,3,1,8,7,9,1,1,1,4
278,2,6,8,9,5,6,5,4,1,1,5,9,1,3,1,5
279,9,10,9,10,5,9,10,7,1,10,1,6,1,1,2,8
280,8,6,6,10,10,8,3,3,1,1,1,8,1,1,1,5
281,2,8,10,10,10,9,2,3,1,1,1,9,1,1,2,6
282,9,10,8,6,10,9,8,7,1,8,2,9,1,1,1,7
283,9,10,10,10,10,9,7,8,1,3,1,8,1,2,1,7
284,2,6,8,9,5,8,3,2,1,3,1,9,1,1,3,6
285,10,10,8,4,5,10,8,7,1,1,2,9,1,1,3,6
286,7,10,7,5,10,9,7,7,1,6,6,9,1,1,1,6
287,1,10,9,4,10,9,8,4,1,9,1,9,1,1,1,5
288,10,10,9,4,5,10,3,7,1,6,6,9,1,1,1,6
289,9,10,10,7,10,10,8,6,1,8,6,9,1,1,3,6
290,5,10,8,10,10,10,8,7,1,1,6,9,1,1,1,6
291,9,10,7,3,10,9,9,5,1,1,2,8,1,1,1,5
292,8,10,10,10,5,10,7,7,1,6,6,8,1,1,1,7
293,5,6,4,7,5,7,5,3,1,4,6,9,2,3,1,5
294,10,10,10,10,10,10,6,9,1,1,6,8,1,1,1,7
295,2,8,10,8,10,8,7,8,1,3,2,9,1,2,1,6
296,9,10,10,10,10,10,9,7,1,9,1,9,1,1,1,6
297,7,9,10,4,10,9,8,4,1,5,7,9,1,3,1,6
298,6,4,3,7,5,7,8,3,1,8,1,9,1,1,5,5
299,3,8,7,9,5,9,6,3,1,7,2,9,2,1,5,5
300,6,7,6,10,10,8,10,7,1,1,1,8,1,1,2,6
301,6,8,7,4,10,8,9,8,1,8,6,9,1,1,2,7
302,10,10,10,10,10,10,10,6,1,10,6,9,1,1,1,6
303,2,4,3,3,5,8,10,3,1,9,1,8,2,1,1,5
304,9,10,10,3,5,9,7,7,1,3,1,7,1,1,1,7
305,2,9,10,5,5,8,10,9,1,10,1,7,1,3,1,9
306,10,10,10,10,5,10,10,7,1,10,1,7,1,1,1,7
307,8,7,4,2,5,7,3,3,1,1,1,8,1,1,3,5
308,9,10,9,7,10,9,8,4,1,1,1,9,1,1,6,5
309,8,8,8,10,10,8,3,6,1,1,4,8,1,3,2,6
310,8,9,8,9,7,9,4,7,1,1,3,9,1,1,1,6
311,3,7,6,5,10,8,5,3,1,6,6,9,2,2,2,4
312,5,7,7,9,5,7,8,4,1,1,5,8,1,1,1,5
313,7,8,10,6,10,7,3,6,1,1,1,8,1,1,1,6
314,8,10,9,8,10,10,3,2,1,6,6,9,1,4,1,4
315,7,9,8,6,10,9,1,2,1,1,4,9,1,1,1,3
316,7,10,8,2,10,8,8,6,1,3,1,9,1,1,1,6
317,7,6,6,4,9,8,5,4,1,1,1,7,1,1,1,7
318,9,9,9,8,10,9,9,8,1,9,2,8,1,2,1,7
319,1,7,8,10,10,6,10,4,1,10,1,6,1,1,1,8
320,9,9,8,7,10,9,4,4,1,1,1,9,1,1,3,6
321,8,10,10,10,10,10,8,8,1,6,2,8,1,1,5,7
322,8,9,8,3,5,9,6,3,4,6,7,9,1,2,1,4
323,5,10,9,7,10,9,8,8,1,1,6,7,2,1,1,7
324,1,3,10,2,5,5,9,8,1,3,1,8,1,1,1,6
325,5,9,10,5,10,9,9,6,1,6,1,6,2,1,1,8
326,10,10,10,10,10,9,1,9,1,1,3,9,1,1,1,6
327,10,8,9,9,10,8,8,6,1,4,1,7,1,1,1,6
328,6,10,10,10,10,9,5,3,1,9,6,9,1,1,5,5
329,10,10,10,7,10,10,9,8,1,7,1,9,1,1,1,6
330,3,8,9,10,10,7,10,7,1,6,6,7,1,1,3,8
331,9,9,7,9,10,9,5,6,1,1,1,8,1,1,3,6
332,2,9,10,10,10,8,1,8,1,1,4,9,1,1,1,7
333,3,8,9,10,5,8,7,6,1,1,2,3,2,1,1,8
334,9,10,10,10,10,9,2,8,1,1,7,9,1,2,2,7
335,8,10,10,10,10,9,8,6,1,9,1,8,1,2,1,6
336,9,10,7,3,10,9,4,3,1,6,4,9,1,1,1,4
337,2,8,6,3,5,8,1,2,1,1,4,9,2,2,6,4
338,8,10,8,9,5,10,2,3,1,1,3,9,1,1,1,6
339,8,9,8,6,10,9,5,3,1,3,7,8,2,2,5,5
340,1,10,10,10,10,10,10,7,1,1,1,9,1,1,1,7
341,2,8,7,9,5,7,4,7,1,1,6,8,1,3,2,7
342,8,8,7,9,10,9,10,8,1,1,2,9,1,1,5,7
343,2,4,5,6,10,7,8,6,1,8,1,8,1,1,1,6
344,1,4,6,10,5,6,2,3,1,1,1,7,1,1,1,6
345,2,8,7,3,10,8,6,7,1,3,5,9,1,1,1,6
346,9,10,7,4,10,10,9,4,1,1,5,9,1,1,1,5
347,9,10,8,4,5,10,9,6,1,10,7,9,3,1,3,7
348,9,10,10,6,5,10,8,8,1,3,7,7,2,6,6,8
349,9,10,10,10,10,10,10,8,1,10,7,8,1,6,1,7
350,3,7,8,10,10,8,5,2,1,3,6,9,1,1,1,6
351,8,9,9,10,10,9,7,6,1,6,6,9,1,2,1,7
352,9,10,8,6,10,9,6,5,3,7,1,8,1,3,1,6
353,5,8,9,9,10,8,4,7,1,1,2,9,1,1,1,5
354,9,10,8,7,10,9,3,8,1,1,6,8,1,2,2,8
355,5,10,10,10,10,9,9,8,1,9,1,8,1,1,3,6
356,10,10,10,10,10,10,5,9,1,3,1,9,1,1,1,7
357,9,9,8,9,10,9,5,3,3,9,1,9,1,1,1,5
358,9,10,9,9,10,10,8,7,1,7,1,9,1,1,3,6
359,6,8,9,9,7,8,10,7,1,6,4,7,1,1,1,7
360,9,8,8,10,5,8,9,4,1,9,1,7,1,1,1,6
361,2,10,10,3,10,9,4,2,1,1,8,9,1,1,5,3
362,9,8,9,9,6,9,6,3,1,8,7,9,2,2,1,4
363,10,9,9,10,10,9,10,9,1,1,5,7,1,1,2,7
364,7,9,8,7,5,9,8,4,1,3,1,8,1,1,2,5
365,7,10,10,10,10,9,1,2,1,1,1,9,1,1,1,3
366,9,10,10,10,10,9,10,8,1,10,7,7,1,1,5,7
367,10,10,9,7,10,10,8,3,1,6,6,9,1,1,1,4
368,9,10,8,10,10,9,10,9,1,10,1,7,1,2,1,7
369,9,10,10,10,10,10,10,8,1,10,8,7,1,1,5,8
370,9,10,10,10,10,10,10,7,1,10,1,7,1,1,2,7
371,7,10,8,4,5,8,3,6,1,3,3,8,1,1,1,7
372,5,10,7,10,5,7,4,8,1,1,1,6,1,1,1,7
373,3,8,9,10,5,9,3,3,1,3,1,9,1,1,1,4
374,6,7,8,3,5,8,5,4,1,8,7,8,2,4,1,6
375,9,10,9,10,10,9,3,7,1,1,3,9,1,2,2,6
376,8,10,9,10,5,9,5,8,1,1,1,6,2,1,1,9
377,9,10,10,2,10,9,5,3,1,3,1,8,1,2,5,6
378,2,10,9,10,10,7,5,4,1,1,1,9,1,1,1,5
379,8,10,8,8,5,9,7,6,1,7,7,8,1,1,2,5
380,9,10,7,10,10,9,9,6,1,8,8,8,1,1,1,7
381,2,3,2,3,5,6,9,3,3,6,4,8,1,1,1,4
382,6,8,8,4,5,8,10,7,1,7,1,6,1,1,2,8
383,2,10,10,10,10,9,7,6,1,3,1,9,1,1,1,6
384,9,8,8,10,5,7,9,6,1,8,1,9,1,2,1,6
385,3,4,7,9,10,7,7,3,1,6,1,9,1,1,1,5
386,8,10,9,4,5,8,9,3,1,3,4,8,1,1,1,4
387,10,6,5,2,5,9,7,4,1,9,1,8,1,1,1,6
388,7,9,6,5,10,9,8,3,3,6,1,9,1,2,5,5
389,7,8,9,10,10,9,6,8,1,6,1,9,1,1,1,7
390,5,9,8,9,10,8,2,6,1,1,1,9,1,1,1,6
391,10,10,9,10,10,10,1,2,1,1,1,9,1,1,1,3
392,8,10,10,10,10,10,10,7,1,10,7,9,1,1,1,7
393,1,4,9,10,10,6,1,2,1,1,1,9,1,3,1,4
394,8,10,10,4,10,10,9,6,1,9,1,7,1,1,1,7
395,4,6,7,8,5,8,9,3,1,7,7,9,1,1,1,4
396,7,7,6,9,10,9,9,8,1,7,1,9,1,1,1,6
397,2,9,9,3,5,9,5,2,1,2,6,9,1,1,1,4
398,10,10,10,10,10,10,9,7,1,1,3,6,1,1,1,8
399,10,10,8,7,10,9,7,6,1,1,1,9,1,2,1,7
400,6,8,10,10,10,9,6,3,1,7,5,9,1,1,1,4
401,10,10,10,10,10,10,2,6,1,1,2,9,1,1,1,4
