NberID,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,llm_readability
w0090,10,10,10,3,5,10,1,4,1,1,2,9,1,1,1,6
w0104,6,7,8,9,10,7,5,4,1,1,1,6,1,1,1,6
w0112,9,10,10,10,10,9,8,7,1,10,2,8,1,1,1,7
w0121,6,7,5,9,10,8,9,6,1,1,1,7,2,1,2,7
w0134,9,10,10,10,10,9,3,7,1,6,1,7,1,1,2,7
w0135,2,6,6,10,10,8,8,3,1,1,6,8,3,4,8,5
w0137,8,10,10,9,10,9,9,6,1,1,1,6,1,2,1,7
w0138,5,8,9,4,7,6,7,5,1,9,1,6,1,1,2,7
w0150,10,10,10,7,10,9,10,5,1,9,3,9,1,1,2,6
w0153,5,10,10,10,10,10,8,6,1,1,1,6,1,2,3,8
w0172,9,10,10,10,10,9,2,4,1,6,1,8,1,2,3,6
w0177,9,10,10,10,10,8,9,7,1,1,3,7,1,1,1,7
w0178,5,10,10,10,10,8,10,8,1,1,2,6,1,3,3,9
w0199,9,9,8,10,5,8,10,7,1,6,1,4,1,1,1,7
w0201,7,7,8,6,5,8,8,4,1,1,1,7,2,1,8,6
w0208,9,10,10,10,5,8,9,8,1,6,5,6,1,1,1,8
w0239,7,9,6,10,10,8,9,4,1,1,1,8,1,1,2,6
w0241,2,8,8,10,5,8,10,7,1,1,1,8,1,1,1,6
w0242,2,7,9,10,10,7,5,7,1,1,1,5,1,2,5,8
w0243,8,10,7,9,10,8,3,5,1,1,1,7,1,1,6,6
w0249,2,10,10,10,10,10,9,7,1,1,1,8,1,3,1,6
w0250,9,10,9,10,10,9,10,8,1,1,9,5,1,4,3,8
w0253,2,4,8,7,10,6,10,4,1,7,1,7,1,1,5,6
w0278,10,7,7,3,5,6,8,3,1,3,1,7,1,1,1,5
w0283,5,4,3,3,5,6,5,3,1,1,5,7,1,4,5,6
w0288,2,8,10,10,10,8,4,5,1,1,2,7,1,1,4,7
w0319,1,7,8,10,10,8,5,7,1,1,1,8,1,1,6,7
w0326,7,8,8,10,5,8,8,3,1,1,5,8,1,1,1,5
w0330,5,6,7,8,5,7,5,6,1,1,1,6,1,6,2,8
w0335,6,8,8,10,10,6,1,7,1,1,1,8,1,1,3,7
w0343,7,7,8,10,10,8,8,3,1,3,3,9,1,2,2,4
w0352,6,8,8,4,10,8,4,9,1,1,1,9,1,1,1,5
w0356,8,9,8,5,5,8,7,4,1,2,2,8,2,1,2,6
w0362,3,3,7,5,10,7,9,3,1,3,4,7,1,2,6,5
w0376,4,3,4,10,10,6,1,3,1,1,1,7,1,1,3,6
w0401,8,8,8,3,5,9,9,6,1,1,1,7,1,1,2,7
w0405,1,3,7,5,10,7,9,6,1,3,2,7,1,1,5,6
w0421,7,10,10,10,10,9,9,4,1,1,1,8,1,1,1,6
w0431,9,10,10,7,5,9,5,6,1,1,1,8,2,4,1,6
w0432,6,9,6,9,10,8,9,6,1,1,1,7,1,2,2,7
w0445,7,9,10,10,10,8,9,8,1,1,6,7,2,1,3,8
w0450,2,8,8,10,10,9,3,3,1,1,1,7,1,1,1,6
w0468,10,10,10,8,10,10,2,7,1,1,4,7,1,1,5,7
w0484,10,8,8,8,10,9,6,6,1,1,1,7,2,7,2,7
w0500,4,8,9,2,5,7,4,3,1,1,1,8,1,1,5,6
w0502,4,8,9,4,10,8,5,6,1,1,1,6,1,1,2,8
w0506,10,10,9,9,5,9,5,3,1,1,2,8,2,1,5,5
w0520,1,6,7,9,5,6,7,3,1,1,1,8,1,2,5,6
w0544,5,10,10,10,10,8,3,5,1,1,1,6,1,1,5,7
w0546,10,9,9,4,5,9,5,3,1,1,1,7,1,1,1,6
w0553,2,3,4,10,10,6,9,8,1,1,2,6,1,3,5,8
w0567,1,7,7,4,5,6,7,3,1,3,1,8,1,1,4,5
w0570,1,10,9,10,10,9,8,3,1,7,9,8,1,1,1,6
w0577,6,9,10,4,10,9,10,4,1,3,1,6,3,1,3,7
w0586,1,7,6,4,5,7,5,6,1,1,1,8,1,1,2,5
w0588,1,4,6,10,10,4,8,2,1,1,5,6,1,1,3,6
w0590,5,10,7,9,10,9,3,2,1,1,1,9,1,1,4,4
w0599,8,9,8,7,5,7,8,7,1,1,2,8,1,1,1,6
w0617,5,8,7,4,10,8,3,6,1,1,5,6,1,2,2,7
w0626,8,10,10,10,2,9,7,6,1,9,1,8,1,1,5,7
w0659,2,6,4,3,10,8,7,3,1,9,1,6,2,6,5,5
w0660,5,9,7,9,10,8,5,3,1,1,1,8,1,1,1,5
w0675,10,9,9,3,10,10,7,7,1,1,1,7,1,1,3,7
w0677,2,7,8,9,10,8,5,6,1,1,1,6,1,2,3,7
w0685,1,8,8,10,10,8,9,4,1,1,1,8,3,1,1,6
w0686,10,10,10,7,10,9,10,4,1,3,6,7,1,2,1,6
w0687,1,3,4,4,5,6,9,3,1,1,5,4,2,1,3,7
w0711,3,7,8,9,10,8,6,4,1,7,6,7,1,5,5,7
w0720,2,10,8,4,10,8,8,8,1,1,1,7,1,3,1,8
w0722,9,8,6,10,10,8,7,4,1,6,1,4,1,4,3,7
w0727,9,10,6,4,10,9,2,2,1,1,1,4,1,1,3,5
w0744,9,10,7,10,5,9,7,4,1,1,8,8,1,2,4,6
w0756,7,10,10,10,10,9,9,9,1,6,4,8,1,1,1,6
w0779,5,10,10,10,10,8,9,7,1,1,1,6,1,1,1,6
w0786,10,10,10,10,10,10,8,4,1,1,1,8,1,6,1,6
w0807,10,9,8,6,5,8,6,3,1,3,1,9,2,1,6,5
w0835,9,10,8,10,5,9,8,3,1,1,8,7,2,1,7,6
w0840,9,10,4,2,6,9,3,4,1,1,1,7,1,1,1,6
w0855,1,8,9,4,5,7,5,4,1,1,1,7,1,4,1,6
w0870,8,10,10,10,10,9,6,6,1,1,3,8,1,3,1,7
w0882,5,8,8,9,10,8,3,4,1,1,1,9,1,1,1,5
w0885,8,10,10,10,5,9,8,3,1,3,1,9,1,1,5,6
w0888,6,6,5,3,5,7,7,3,1,8,1,8,1,1,2,4
w0891,5,8,8,6,10,8,8,7,1,1,1,7,1,1,1,8
w0897,7,8,8,9,10,8,8,6,1,7,3,6,2,2,5,7
w0898,9,8,7,10,10,9,9,6,1,9,1,9,2,1,1,6
w0905,3,7,8,4,5,7,2,3,1,1,5,8,1,2,4,6
w0970,8,10,10,10,10,9,8,6,1,1,1,4,1,1,3,7
w0975,9,10,6,9,5,9,7,3,2,6,1,8,1,1,4,5
w0978,9,10,9,10,5,9,10,8,1,1,1,8,1,1,3,7
w0987,9,10,10,10,10,10,10,9,1,8,1,8,1,1,5,7
w0991,7,10,9,8,5,10,7,7,1,1,1,6,1,1,1,8
w10002,4,6,7,10,10,5,7,4,1,8,6,7,1,2,7,7
w10003,2,4,4,10,10,7,7,4,1,9,5,8,1,1,2,5
w10014,3,7,7,8,5,8,9,4,1,7,2,7,1,3,3,6
w10016,2,7,7,9,10,8,10,4,1,10,1,7,1,1,1,6
w10038,7,8,8,10,10,9,9,8,1,8,1,6,1,3,1,9
w1004,1,4,7,10,10,4,10,6,1,7,1,6,1,1,5,8
w10055,9,10,8,10,6,9,9,9,1,8,7,6,2,1,5,9
w10056,10,7,6,10,10,9,9,6,1,1,1,8,1,1,5,7
w1006,8,9,6,9,10,9,4,3,1,1,4,7,2,3,2,5
w10070,3,3,4,8,5,5,6,3,1,9,2,7,1,2,5,6
w10078,5,10,8,10,5,10,9,3,1,9,1,9,1,3,1,6
w10082,9,10,10,10,10,9,7,4,1,10,1,8,1,1,2,7
w10083,7,7,6,10,10,8,9,7,1,6,1,4,1,3,2,8
w10102,10,10,8,10,10,9,8,7,1,3,5,6,1,1,2,8
w10109,6,8,8,9,5,8,9,3,1,1,1,7,1,1,7,6
w10113,1,8,7,6,5,6,8,4,1,9,1,3,1,2,2,7
w10118,3,7,8,9,5,8,9,6,1,8,5,7,1,3,5,8
w10121,7,8,8,4,5,9,10,8,1,9,1,7,1,2,5,8
w10132,10,10,10,6,10,10,9,9,1,8,1,7,1,1,2,8
w10151,2,8,8,10,10,9,10,7,1,9,1,9,1,3,5,8
w10159,3,3,3,3,5,4,8,4,1,9,1,7,2,6,6,7
w10175,10,8,8,6,10,9,7,8,1,9,1,6,2,3,4,9
w10187,8,10,10,10,10,10,9,7,1,6,2,8,1,4,2,8
w1019,7,8,9,9,10,8,9,8,1,3,1,7,2,2,1,7
w10198,8,8,7,9,10,8,8,6,1,9,3,6,1,1,1,7
w10220,5,7,6,3,5,7,5,3,1,6,1,8,2,1,5,5
w10231,5,10,10,8,10,10,9,8,1,9,7,8,1,1,1,7
w10234,8,8,8,10,10,9,9,8,1,9,1,2,1,2,2,9
w10241,6,9,6,2,10,9,9,5,1,7,2,7,1,1,3,6
w10251,8,7,7,10,5,9,10,8,1,10,7,6,1,2,7,9
w10259,1,3,3,4,5,2,9,3,1,3,1,8,1,1,3,5
w10260,9,10,9,10,10,9,10,4,1,9,9,7,2,6,2,6
w10275,9,10,10,10,5,10,10,8,1,10,1,6,1,1,1,9
w10278,7,10,10,4,10,9,9,5,1,10,7,9,1,2,5,6
w10292,3,4,6,9,5,6,8,3,1,8,8,7,2,1,5,6
w10307,5,10,9,10,5,9,8,4,1,10,7,7,3,4,1,7
w10314,9,8,8,10,10,9,9,6,1,10,8,8,1,7,6,7
w10324,7,8,8,6,5,8,5,7,1,4,1,5,1,6,8,9
w10351,9,8,8,9,10,9,8,6,1,4,5,8,2,3,2,7
w10358,10,9,8,8,10,9,10,3,1,9,5,9,1,3,1,5
w10365,9,8,9,10,5,9,8,4,1,6,1,3,1,3,5,7
w10415,8,9,10,10,5,8,10,9,1,1,1,4,1,2,6,9
w10428,1,6,9,10,10,7,7,4,1,6,5,9,1,1,3,6
w10438,3,3,4,4,5,4,7,4,1,3,1,3,1,6,1,7
w10440,4,6,7,5,5,4,7,6,1,8,1,3,1,2,6,8
w10450,5,10,10,6,10,9,7,8,1,7,1,9,1,2,1,8
w10457,9,10,10,10,10,10,9,8,1,3,6,8,1,4,1,7
w10458,7,8,8,10,10,8,4,3,1,1,4,9,1,3,3,6
w10501,9,8,8,10,10,9,9,6,1,1,5,5,1,3,2,8
w10514,6,10,10,7,10,9,9,9,1,4,1,2,1,1,2,9
w10516,3,4,7,7,5,7,9,4,1,10,1,8,1,2,6,6
w10518,2,7,8,3,8,8,9,3,1,10,4,7,1,1,3,6
w10522,8,8,7,8,10,9,7,9,1,6,1,3,1,1,5,9
w10540,9,10,8,7,10,10,10,6,1,8,2,9,1,1,1,7
w10543,5,6,9,10,10,8,10,7,1,4,2,6,2,4,3,8
w10548,9,8,5,10,10,9,9,4,1,10,1,7,1,1,1,6
w10552,5,6,6,7,5,6,8,4,1,7,3,6,2,3,8,7
w10570,9,10,7,8,5,8,10,8,1,10,1,3,1,1,3,9
w10592,3,6,7,9,5,8,9,8,1,9,1,8,1,2,1,7
w10598,2,6,6,3,10,7,5,7,1,2,1,6,1,2,4,8
w10606,2,8,6,10,10,8,9,6,1,8,1,4,1,3,1,8
w10609,5,8,9,10,5,8,10,7,1,10,1,6,1,3,3,8
w10622,5,4,6,10,10,4,5,7,1,1,1,8,1,2,6,7
w10647,3,4,6,8,5,7,8,6,1,8,2,6,1,3,5,8
w10663,3,4,5,2,5,4,8,4,1,8,6,7,1,6,5,6
w10664,9,10,6,10,10,9,10,4,1,1,1,7,1,1,5,6
w10666,5,4,6,3,5,5,8,6,1,6,1,6,1,2,5,7
w10667,8,7,7,8,10,8,7,7,1,7,1,6,1,2,1,8
w10679,3,10,9,6,10,7,10,8,1,1,1,7,2,1,6,8
w10684,2,3,4,2,5,4,6,3,1,6,5,6,1,2,1,6
w10707,5,8,7,10,5,9,10,6,1,3,7,8,1,1,1,7
w10713,9,8,9,7,10,8,7,7,1,1,1,3,1,8,3,9
w10720,7,8,9,9,5,8,9,4,1,9,3,6,1,2,4,7
w10723,9,10,4,7,10,8,9,5,1,9,1,8,1,1,2,6
w10734,7,10,9,10,5,8,5,3,1,9,1,8,1,2,1,5
w10737,6,9,10,6,10,9,10,6,1,9,1,7,1,1,5,7
w1075,8,7,8,9,10,9,6,3,1,8,1,9,1,1,1,5
w10763,3,4,6,9,5,8,8,6,1,8,1,5,1,7,5,7
w10764,9,10,9,10,10,10,10,8,1,9,1,9,2,2,2,7
w1077,6,8,8,9,10,8,8,4,1,7,5,8,1,3,1,6
w10777,10,8,7,7,5,8,10,8,1,4,1,6,1,2,1,9
w10778,5,7,5,10,5,7,9,4,1,6,1,3,2,2,1,7
w10784,8,10,3,10,10,9,7,5,1,9,1,7,1,7,3,7
w10792,9,10,9,9,10,9,9,8,1,9,1,8,1,3,5,7
w10803,6,9,10,10,6,9,9,8,1,9,3,4,1,3,6,9
w10811,7,9,8,10,10,9,10,7,1,9,1,6,1,1,1,8
w10816,5,10,10,10,10,10,10,8,1,10,1,8,1,1,4,8
w10835,8,8,7,9,10,8,9,6,1,8,1,7,1,2,3,7
w10836,8,9,8,8,10,9,10,3,1,9,6,7,1,1,2,6
w10841,9,8,9,6,10,9,9,7,1,6,4,6,2,5,2,8
w10887,10,6,6,4,10,9,7,4,1,6,1,4,1,7,5,8
w1089,5,9,9,10,10,9,6,3,1,1,2,7,1,1,3,6
w10891,9,10,10,10,10,10,10,7,1,9,3,8,1,1,2,8
w10930,7,7,7,5,10,8,9,6,1,9,1,6,1,7,6,8
w10932,6,8,9,3,5,7,4,5,1,1,1,3,2,1,6,8
w10959,10,10,8,10,10,9,9,8,1,4,7,7,3,1,4,8
w10963,2,7,6,3,10,8,8,6,1,8,5,7,1,3,3,7
w10972,8,9,9,3,10,9,10,8,1,3,1,7,1,1,5,8
w10976,3,6,8,8,10,7,9,3,1,6,1,7,1,1,6,6
w10986,10,10,10,10,10,8,10,7,1,10,1,6,1,2,1,8
w10989,3,9,5,8,10,8,9,3,1,9,1,6,2,3,6,6
w10991,7,8,8,7,5,8,9,7,1,8,1,3,1,1,3,8
w11001,1,6,5,9,5,7,9,7,1,7,1,7,1,2,5,8
w11004,5,8,9,9,10,8,10,7,1,9,6,8,1,1,1,7
w11005,7,9,8,10,10,9,8,6,1,10,1,6,1,1,3,8
w11014,9,10,10,10,10,10,8,3,1,7,7,8,1,1,2,6
w11015,3,6,9,9,5,7,9,7,1,8,1,9,1,1,1,6
w11017,1,7,9,10,10,9,7,3,1,6,6,8,1,1,5,6
w11018,8,8,10,10,5,7,10,8,1,7,1,6,1,2,1,8
w11019,8,8,8,10,10,8,10,6,1,10,7,4,1,4,5,8
w11030,9,6,7,4,5,8,10,4,1,8,1,7,1,1,5,7
w11043,2,8,8,10,10,9,9,8,1,8,1,7,1,3,1,8
w11071,4,8,10,6,10,7,10,6,1,6,1,6,1,1,6,8
w11072,8,8,10,9,10,8,9,9,1,9,1,3,1,2,1,9
w11074,3,10,10,3,5,9,10,8,1,9,6,4,1,6,7,9
w11076,5,9,7,7,10,10,10,6,1,10,1,7,1,1,1,7
w11088,4,10,8,10,5,9,9,6,1,3,6,8,1,2,1,6
w11094,1,8,10,10,10,9,10,6,1,10,5,7,1,1,5,8
w11104,9,10,10,10,10,10,10,6,1,9,1,8,1,1,1,7
w11147,6,9,9,10,5,9,9,7,1,7,1,7,2,2,3,7
w11155,9,10,9,10,10,9,9,5,1,8,7,7,1,3,2,7
w11159,3,3,3,7,6,6,9,2,1,10,5,9,1,4,3,4
w1116,3,7,7,6,6,7,8,3,1,6,5,7,2,3,2,6
w11185,9,9,9,10,10,9,9,8,1,10,1,9,1,1,5,7
w11191,8,8,6,4,10,9,9,3,1,10,6,8,1,2,1,4
w11202,8,6,4,5,10,7,9,4,1,9,1,5,1,8,2,8
w11205,9,10,9,10,10,9,10,3,1,10,1,6,1,1,1,7
w11208,7,9,8,10,10,8,5,3,1,1,6,8,1,2,5,5
w1122,9,10,9,3,5,9,9,5,1,9,1,7,2,1,1,7
w11236,5,6,7,9,5,8,9,4,1,9,1,4,1,2,3,7
w11245,2,8,10,9,10,9,10,7,1,2,1,7,1,1,1,7
w11258,1,10,10,10,10,9,8,4,1,9,7,6,1,4,5,7
w11259,8,10,10,10,10,9,9,3,1,1,2,9,1,1,4,4
w11264,5,9,7,7,5,8,10,4,1,10,5,7,2,3,2,7
w11287,6,4,4,3,5,7,9,6,1,8,1,2,1,7,2,8
w1129,3,9,6,7,5,8,4,6,1,3,3,8,1,1,2,6
w11292,2,9,10,6,10,9,10,4,1,10,5,7,1,4,3,7
w11307,2,7,8,10,10,6,9,8,1,6,1,7,1,6,5,8
w1138,4,7,7,5,5,6,8,4,1,1,1,8,1,1,6,6
w11402,8,8,6,9,10,8,9,8,1,3,1,3,2,1,7,8
w11405,9,10,4,10,10,9,9,7,1,8,3,3,3,8,6,8
w11408,8,10,10,10,5,9,9,5,1,10,4,8,1,1,6,6
w11421,7,6,7,3,5,7,9,3,1,6,1,7,1,6,6,6
w11455,8,9,8,9,5,8,10,4,1,10,1,7,1,6,2,7
w11458,7,8,10,10,5,9,9,7,1,9,1,6,1,1,5,8
w11461,8,9,6,10,10,9,9,5,1,10,1,9,1,2,5,6
w11462,8,9,6,4,10,9,9,6,1,1,1,8,1,1,1,7
w11474,2,8,8,9,5,8,7,6,1,9,1,4,1,3,2,8
w11476,5,10,10,5,10,9,9,6,1,10,1,9,1,1,1,6
w11478,8,8,6,6,10,8,9,5,1,10,1,7,2,8,5,7
w11494,5,9,6,10,5,9,9,4,1,6,7,5,2,1,1,7
w11495,9,10,10,10,10,9,10,8,1,1,7,8,2,1,2,8
w11506,9,10,7,9,10,10,9,9,1,8,3,6,1,1,5,8
w11516,6,8,9,10,10,8,7,7,1,3,1,4,1,6,5,9
w11525,2,6,7,4,10,8,9,6,1,9,1,6,1,1,3,8
w11530,8,8,8,9,5,8,8,9,1,7,7,3,2,6,2,9
w11535,1,6,6,10,10,7,9,5,1,9,4,7,1,1,5,7
w11546,7,10,10,10,10,9,9,8,1,1,1,6,2,3,2,8
w11550,1,3,8,6,5,6,9,4,1,9,3,6,1,1,7,7
w11551,10,10,4,10,5,9,9,6,1,7,6,7,2,1,6,7
w11555,2,7,7,5,5,8,6,3,1,7,1,7,1,2,3,6
w11577,8,9,8,9,10,9,5,6,1,5,1,5,1,3,2,8
w11596,3,9,8,9,10,8,9,4,1,9,1,8,2,6,2,6
w11601,9,6,4,10,10,8,10,7,1,9,1,7,2,7,5,8
w11611,8,8,6,10,10,8,8,7,1,8,1,6,2,6,5,8
w11616,3,6,7,9,10,7,8,3,1,1,1,6,1,2,6,6
w11619,2,2,3,7,10,3,10,6,1,8,1,2,1,2,5,8
w11622,3,8,7,4,5,8,8,5,1,6,1,8,2,5,5,6
w11664,6,8,9,10,5,8,10,7,1,8,1,4,1,1,5,8
w11676,5,8,8,8,10,9,10,7,1,10,1,5,1,2,5,8
w11680,2,4,6,9,10,7,8,4,1,8,1,6,1,7,6,7
w11689,9,10,9,4,10,9,10,8,1,9,1,8,1,1,6,8
w11700,10,10,10,10,10,9,10,9,1,10,1,2,1,1,1,9
w11702,1,4,6,9,5,6,9,3,1,9,5,7,1,6,4,7
w1171,5,7,7,9,5,7,4,4,1,1,7,7,1,4,2,7
w11711,9,8,8,9,5,8,9,8,1,8,2,6,1,2,5,8
w11716,2,7,6,4,10,8,9,7,1,6,5,6,1,1,5,8
w11722,10,10,7,10,10,9,9,7,1,9,6,6,1,1,2,8
w11753,7,7,9,10,5,8,9,6,1,9,1,4,1,7,7,9
w11755,7,7,7,3,5,8,10,8,1,3,2,7,1,1,3,7
w11756,5,7,6,10,10,8,9,9,1,1,1,6,1,1,1,9
w11765,10,9,9,10,6,9,7,6,1,7,9,8,1,1,3,7
w11773,1,8,9,10,10,9,10,3,1,9,6,6,1,2,6,7
w11790,10,6,3,8,10,6,7,7,1,6,1,6,1,4,6,8
w11796,6,6,8,9,5,8,9,6,1,8,5,7,1,3,6,7
w1181,1,8,9,10,5,6,2,4,1,1,1,7,1,1,5,7
w1182,7,9,9,9,10,9,8,7,1,1,7,8,1,3,5,7
w11822,1,3,3,9,8,6,8,7,1,7,1,6,1,6,5,8
w11825,1,8,9,10,10,8,10,6,1,6,1,4,2,5,1,8
w11826,1,10,10,5,10,10,9,4,1,9,1,9,1,1,5,6
w11832,5,7,8,10,10,8,9,7,1,9,1,4,3,4,6,9
w11845,8,8,7,3,5,9,10,3,1,10,5,9,1,1,2,5
w11862,3,9,8,10,5,9,9,6,1,10,6,4,1,4,2,7
w11873,10,10,10,8,5,10,10,7,1,10,1,6,1,1,5,8
w11874,5,8,9,6,10,7,10,6,1,3,6,8,2,1,3,7
w11876,8,10,10,10,10,10,9,8,1,7,4,7,1,3,1,8
w11888,1,8,10,10,10,8,9,7,1,1,3,6,1,1,1,9
w11896,6,7,4,7,10,8,8,2,1,1,4,7,2,1,5,4
w11900,1,7,7,3,10,9,9,6,1,10,6,8,1,2,5,8
w11904,9,8,9,9,10,9,9,7,1,3,1,6,1,8,5,8
w11915,3,8,8,7,5,8,8,9,1,1,1,2,1,4,1,9
w11924,8,10,10,10,5,9,8,7,1,9,5,3,1,2,2,8
w11938,6,7,8,9,8,8,10,7,1,10,5,6,1,1,6,8
w11943,4,10,10,10,10,9,10,6,1,9,1,7,1,3,5,7
w11971,2,7,8,7,5,7,10,6,1,8,5,9,1,1,1,6
w11987,5,8,6,4,5,8,8,5,1,6,1,6,2,4,1,7
w11996,10,7,6,4,5,8,9,3,1,7,3,7,3,1,2,6
w12003,8,10,10,10,10,9,10,7,1,6,1,6,1,1,2,8
w12021,9,7,6,10,10,8,10,6,1,10,1,7,1,7,5,7
w12022,10,10,8,10,10,9,10,7,1,10,5,8,1,1,1,7
w12030,6,6,4,10,10,8,9,4,1,7,1,7,1,3,2,7
w12031,5,10,10,10,10,8,7,6,1,7,1,6,1,1,3,7
w12033,10,10,9,10,10,10,7,4,1,8,8,8,1,7,5,6
w1205,5,8,10,10,5,9,6,3,1,1,3,8,1,1,4,5
w12063,8,7,8,6,5,7,8,4,1,8,1,6,1,2,6,7
w12073,8,8,7,10,10,8,6,5,1,6,1,6,1,4,5,7
w12081,3,8,6,10,10,8,10,7,1,7,1,8,1,3,1,7
w12082,9,9,7,7,10,9,9,7,1,10,1,5,1,6,4,8
w12095,10,10,10,10,5,10,8,8,1,4,1,8,1,7,1,7
w12100,6,9,8,8,10,8,5,7,1,1,1,7,1,1,5,8
w12108,1,7,8,9,10,8,9,3,1,9,4,9,1,1,1,6
w12129,8,10,10,10,10,9,9,6,1,10,4,6,2,3,2,8
w12153,3,6,7,10,10,8,9,4,1,10,1,6,1,1,2,7
w12169,2,7,8,9,10,8,9,8,1,9,1,6,1,8,3,8
w12202,9,7,8,10,10,7,10,8,1,1,3,3,1,1,2,9
w12206,7,8,8,10,5,7,10,7,1,8,1,3,1,3,1,8
w12216,9,8,7,10,10,9,9,7,1,8,6,6,2,3,5,8
w12253,10,9,10,3,5,8,10,8,1,10,1,6,1,6,5,9
w12254,5,7,7,10,10,8,8,3,1,10,1,7,2,1,4,7
w12257,8,7,7,6,5,8,10,6,1,9,2,7,1,1,3,7
w12263,2,7,8,10,10,8,10,6,1,4,1,3,1,3,6,8
w12269,8,9,8,10,5,9,9,4,1,9,1,7,1,6,5,7
w12274,9,8,8,10,10,9,8,7,1,10,1,2,2,8,5,9
w12289,9,8,6,10,5,8,9,7,1,9,1,6,2,7,2,8
w12293,8,7,8,10,10,8,9,6,1,9,1,7,1,7,3,8
w1231,8,7,8,8,10,7,8,7,1,1,1,6,1,3,5,8
w12312,8,7,8,9,10,8,9,4,1,9,1,6,1,2,3,7
w12313,8,6,5,7,5,8,8,4,1,6,2,6,1,2,5,7
w12314,10,10,10,8,5,10,9,4,1,9,1,7,1,3,5,7
w12317,5,10,9,10,5,9,10,3,1,7,1,4,1,4,7,7
w12329,2,7,6,9,6,7,10,8,1,9,1,3,1,1,2,8
w12334,9,10,10,10,10,9,10,5,1,3,3,7,1,2,2,7
w12338,9,10,9,10,5,9,9,8,1,9,1,6,2,3,6,8
w12343,1,3,7,9,10,7,8,6,1,7,4,6,2,6,5,8
w12356,2,8,7,10,10,9,9,7,1,9,4,6,2,4,5,8
w1236,8,9,9,3,10,8,7,3,1,7,2,8,1,1,5,5
w12365,8,8,6,10,10,9,8,8,1,3,3,6,1,3,5,8
