_flesch_score, "Flesch"
_llm_caution, "Caution-Signaling Connectors"
_llm_assertiveness, "Assertiveness & Voice"
_llm_active_passive, "Active/Passive Voice Ratio"
_llm_directness, "Sentence Length & Directness"
_llm_imperative, "Imperative-Form Occurrence"
_llm_pronoun, "Pronoun Commitment"
_llm_novelty, "Novelty-Claim Strength"
_llm_jargon, "Jargon/Technicality Density"
_llm_emotional, "Emotional Valence"
_llm_evidence, "Evidence & Citation Usage"
_llm_practical, "Practical/Impact Orientation"
_llm_g1_score, "LLM G1: Creativity & Hedging"
_llm_g2_score, "LLM G2: Assertiveness & Voice"
_llm_g3_score, "LLM G3: Structural Directness"
_llm_g4_score, "LLM G4: Authorial Stance & Novelty"
_llm_g5_score, "LLM G5: Support & Impact"
nber_llm_readability, "NBER LLM Readability"
nber_llm_modal_verb, "NBER Modal Verb Strength"
nber_llm_hedging, "NBER Hedging Frequency & Type"
nber_llm_qualifier, "NBER Qualifier Density"
nber_llm_ack_limits, "NBER Acknowledgement of Limitations"
nber_llm_caution, "NBER Caution-Signaling Connectors"
nber_llm_assertiveness, "NBER Assertiveness & Voice"
nber_llm_active_passive, "NBER Active/Passive Voice Ratio"
nber_llm_directness, "NBER Sentence Length & Directness"
nber_llm_imperative, "NBER Imperative-Form Occurrence"
nber_llm_pronoun, "NBER Pronoun Commitment"
nber_llm_novelty, "NBER Novelty-Claim Strength"
nber_llm_jargon, "NBER Jargon/Technicality Density"
nber_llm_emotional, "NBER Emotional Valence"
nber_llm_evidence, "NBER Evidence & Citation Usage"
nber_llm_practical, "NBER Practical/Impact Orientation"
nber_llm_g1_score, "NBER LLM G1: Creativity & Hedging"
nber_llm_g2_score, "NBER LLM G2: Assertiveness & Voice"
nber_llm_g3_score, "NBER LLM G3: Structural Directness"
nber_llm_g4_score, "NBER LLM G4: Authorial Stance & Novelty"
nber_llm_g5_score, "NBER LLM G5: Support & Impact"
