,link,title,authors,metrics,received,accepted,published_online,under_review,pub_year,pub_month
150,https://doi.org/10.1287/mnsc.2022.02691,Optimal Match Recommendations in Two-sided Marketplaces with Endogenous Prices,Peng Shi ,"Downloaded 1,344 times in the past 12 months
Cited 0 times",2022-08-31,2024-05-23,2024-12-19,631,2024,12
151,https://doi.org/10.1287/mnsc.2019.03116,Economies Before Scale: I.T. Strategy and Performance Dynamics of Young U.S. Businesses,"Wang Jin , Kristina McElheran","Downloaded 2,693 times in the past 12 months
Cited 4 times",2019-11-22,2024-02-11,2024-12-20,1542,2024,12
152,https://doi.org/10.1287/mnsc.2023.01224,Segment Profit/Loss and the Limitations of a “Management Approach”,"Michael T. Durney , Kurt H. Gee , Zac Wiebe ","Downloaded 1,770 times in the past 12 months
Cited 2 times",2023-04-20,2024-05-18,2024-12-20,394,2024,12
153,https://doi.org/10.1287/mnsc.2023.00137,How Should Time Estimates Be Structured to Increase Customer Satisfaction?,"Beidi Hu , Celia Gaertig , Berkeley J. Dietvorst ","Downloaded 3,015 times in the past 12 months
Cited 1 times",2023-04-10,2024-08-02,2024-12-20,480,2024,12
154,https://doi.org/10.1287/mnsc.2023.01319,Optimizing Initial Screening for Colorectal Cancer Detection with Adherence Behavior,"Sarah Yini Gao , Yan He , Ruijie Zhang , Zhichao Zheng , Shao Wei Lam , Emile Tan ","Downloaded 889 times in the past 12 months
Cited 0 times",2023-05-12,2024-06-03,2024-12-23,388,2024,12
155,https://doi.org/10.1287/mnsc.2024.05365,Performance Attribution for Portfolio Constraints,"Andrew W. Lo , Ruixun Zhang","Downloaded 823 times in the past 12 months
Cited 0 times",2024-03-19,2024-08-22,2024-12-23,156,2024,12
156,https://doi.org/10.1287/mnsc.2024.05365,Performance Attribution for Portfolio Constraints,"Andrew W. Lo , Ruixun Zhang","Downloaded 823 times in the past 12 months
Cited 0 times",2024-03-19,2024-08-22,2024-12-23,156,2024,12
157,https://doi.org/10.1287/mnsc.2023.02531,Strategy-Proofness Made Simpler,"Peter Katuščák , Thomas Kittsteiner","Downloaded 553 times in the past 12 months
Cited 2 times",2023-08-13,2024-05-07,2024-12-24,268,2024,12
158,https://doi.org/10.1287/mnsc.2023.02603,"Pay, Pat, and Clawback: Incentivizing Service Providers’ Participation in On-Demand Digital Platforms","Niam Yaraghi , Ramaswamy Ramesh, Giri Kumar Tay","Downloaded 1,324 times in the past 12 months
Cited 1 times",2023-08-18,2024-06-17,2024-12-24,304,2024,12
159,https://doi.org/10.1287/mnsc.2022.02010,Intersectional Peer Effects at Work: The Effect of White Coworkers on Black Women’s Careers,"Elizabeth Linos , Sanaz Mobasseri , Nina Roussille","Downloaded 984 times in the past 12 months
Cited 5 times",2022-07-06,2024-06-26,2024-12-27,721,2024,12
160,https://doi.org/10.1287/mnsc.2022.00775,"Planning Bike Lanes with Data: Ridership, Congestion, and Path Selection","Sheng Liu , Auyon Siddiq , Jingwei Zhang","Downloaded 1,606 times in the past 12 months
Cited 1 times",2022-03-14,2024-07-05,2024-12-27,844,2024,12
161,https://doi.org/10.1287/mnsc.2023.02039,Inference and Impact of Category Captaincy,Xinrong Zhu,"Downloaded 504 times in the past 12 months
Cited 0 times",2023-07-03,2024-06-07,2024-12-30,340,2024,12
162,https://doi.org/10.1287/mnsc.2022.00910,Online Algorithms for Matching Platforms with Multichannel Traffic,"Vahideh Manshadi , Scott Rodilitz , Daniela Saban , Akshaya Suresh","Downloaded 917 times in the past 12 months
Cited 1 times",2022-03-23,2024-05-26,2024-12-30,795,2024,12
163,https://doi.org/10.1287/mnsc.2022.00445,Limited Time Offer and Consumer Search,"Zheng Gong , Jin Huang ","Downloaded 1,735 times in the past 12 months
Cited 1 times",2022-02-12,2024-12-03,2024-12-30,1025,2024,12
164,https://doi.org/10.1287/mnsc.2023.00713,Is Information Risk Priced? New Evidence from Outer Space,"Xianfeng Hao, Shujing Wang , Yudong Wang , Liangyu Wu","Downloaded 1,661 times in the past 12 months
Cited 0 times",2023-03-05,2024-06-24,2024-12-30,477,2024,12
181,https://doi.org/10.1287/mnsc.2023.02297,Why Wages Don’t Fall in Jobs with Incomplete Contracts,"Marco Fongoni , Daniel Schaefer , Carl Singleton","Downloaded 1,140 times in the past 12 months
Cited 0 times",2023-07-25,2024-06-19,2024-11-29,330,2024,11
182,https://doi.org/10.1287/mnsc.2023.00444,Calling All Issuers: The Market for Debt Monitoring,"Huaizhi Chen , Lauren Cohen , Weiling Liu ","Downloaded 514 times in the past 12 months
Cited 2 times",2023-02-09,2024-03-21,2024-11-01,406,2024,11
183,https://doi.org/10.1287/mnsc.2021.02755,The Economics of Capital Allocation in Firms: Evidence from Internal Capital Markets,"Daniel Hoang , Sebastian Gatzer, Martin Ruckes ","Downloaded 5,464 times in the past 12 months
Cited 1 times",2021-08-19,2024-01-21,2024-11-04,885,2024,11
184,https://doi.org/10.1287/mnsc.2020.03743,Director Liability Protection and the Quality of Independent Directors,"Ronald W. Masulis , Sichen Shen , Hong Zou ","Downloaded 781 times in the past 12 months
Cited 3 times",2020-12-15,2024-04-14,2024-11-04,1216,2024,11
185,https://doi.org/10.1287/mnsc.2021.01145,Indirect Value of Public Infrastructure Technology,"Jialu Liu , Siqi Pei , Xiaoquan (Michael) Zhang ","Downloaded 1,081 times in the past 12 months
Cited 0 times",2021-04-03,2024-05-23,2024-11-05,1146,2024,11
186,https://doi.org/10.1287/mnsc.2022.01169,Dynamic Contract Design in the Presence of Double Moral Hazard,"
Feng Tian , Ekaterina Astashkina , Izak Duenyas ","Downloaded 874 times in the past 12 months
Cited 1 times",2022-04-17,2024-03-26,2024-11-05,709,2024,11
187,https://doi.org/10.1287/mnsc.2023.03499,Instructions and Incentives in Organizations," 
Kieron J. Meagher , Suraj Prasad , Andrew Wait",Downloaded 477 times in the past 12 months,2023-10-28,2024-09-08,2024-11-08,316,2024,11
188,https://doi.org/10.1287/mnsc.2023.00261,An Intertemporal Risk Factor Model,"Fousseni Chabi-Yo , Andrei S. Gonçalves , Johnathan A. Loudis ","Downloaded 546 times in the past 12 months
Cited 2 times",2023-01-23,2024-05-08,2024-11-08,471,2024,11
189,https://doi.org/10.1287/mnsc.2023.03004,The Value of Information Design in Supply Chain Management,"Ozan Candogan , Huseyin Gurkan ","Downloaded 2,820 times in the past 12 months
Cited 1 times",2023-04-23,2023-12-14,2024-11-11,235,2024,11
190,https://doi.org/10.1287/mnsc.2023.01228,Optimal Control of Service Systems with Heterogeneous Servers and Priority Customers,"David Chen , Ruoran Chen , Rowan Wang , Xuan Wang","Downloaded 828 times in the past 12 months
Cited 0 times",2023-04-21,2024-05-31,2024-11-12,406,2024,11
191,https://doi.org/10.1287/mnsc.2021.03979,How to Staff When Customers Arrive in Batches,"Andrew Daw , Robert C. Hampshire , Jamol J. Pender ","Downloaded 453 times in the past 12 months
Cited 2 times",2021-12-02,2024-02-28,2024-11-12,818,2024,11
192,https://doi.org/10.1287/mnsc.2023.02247,"Media Conglomeration, Local News, and Capital Market Consequences","Travis Dyer , Mark Lang , Jun Oh ","Downloaded 967 times in the past 12 months
Cited 2 times",2023-07-21,2024-02-21,2024-11-12,215,2024,11
193,https://doi.org/10.1287/mnsc.2021.02227,Solving the Price-Setting Newsvendor Problem with Parametric Operational Data Analytics (ODA),"Leon Yang Chu , Qi Feng , J. George Shanthikumar , Zuo-Jun Max Shen , Jian Wu ","Downloaded 997 times in the past 12 months
Cited 2 times",2021-07-07,2023-08-27,2024-11-13,781,2024,11
194,https://doi.org/10.1287/mnsc.2022.01557,Online Learning and Decision Making Under Generalized Linear Model with High-Dimensional Data,"Xue Wang , Mike Mingcheng Wei , Tao Yao ","Downloaded 752 times in the past 12 months
Cited 0 times",2022-06-03,2024-01-17,2024-11-13,593,2024,11
195,https://doi.org/10.1287/mnsc.2021.02949,The Blockchain Newsvendor: Value of Freshness Transparency and Smart Contracts,"N. Bora Keskin , Chenghuai Li , Jing-Sheng Song","Downloaded 3,221 times in the past 12 months
Cited 24 times",2021-09-01,2024-01-02,2024-11-14,853,2024,11
196,https://doi.org/10.1287/mnsc.2021.03030,Avoiding Fields on Fire: Information Dissemination Policies for Environmentally Safe Crop-Residue Management,"Mehdi H. Farahani , Milind Dawande , Ganesh Janakiraman , Shouqiang Wang ","Downloaded 928 times in the past 12 months
Cited 1 times",2021-09-07,2024-01-01,2024-11-15,846,2024,11
197,https://doi.org/10.1287/mnsc.2024.4992,Customer Voice on Two-Sided Platforms: The Effect of Surge Pricing on Customer Complaints,"Linli Xu , Yanhao “Max” Wei , Yi Zhu ","Downloaded 1,154 times in the past 12 months
Cited 1 times",2021-11-19,2022-09-13,2024-11-18,298,2024,11
198,https://doi.org/10.1287/mnsc.2023.00987,The Importance of Unemployment Risk for Individual Savings,"Ragnar E. Juelsrud , Ella Getz Wold","Downloaded 406 times in the past 12 months
Cited 0 times",2023-03-30,2024-01-22,2024-11-18,298,2024,11
199,https://doi.org/10.1287/mnsc.2021.01115,Penalty or Reward? The Effect of Social Disincentives on Online Users’ Contributions,"Wenqi Shen , Yan (Lucy) Liu , Yun (Alicia) Wang ","Downloaded 1,160 times in the past 12 months
Cited 2 times",2021-04-01,2023-12-10,2024-11-19,983,2024,11
200,https://doi.org/10.1287/mnsc.2022.03628,Conditional Approval and Value-Based Pricing for New Health Technologies,"Özge Yapar , Stephen E. Chick , Noah Gans ","Downloaded 691 times in the past 12 months
Cited 2 times",2022-11-23,2024-10-02,2024-11-19,679,2024,11
201,https://doi.org/10.1287/mnsc.2023.01724,A Model of Shoppertainment Live Streaming,"Zheyin (Jane) Gu , Xuying Zhao , D. J. Wu ","Downloaded 4,489 times in the past 12 months
Cited 13 times",2023-06-06,2024-10-11,2024-11-21,493,2024,11
202,https://doi.org/10.1287/mnsc.2024.06653,The Bright Side of the GDPR: Welfare-Improving Privacy Management,"Chongwoo Choe , Noriaki Matsushima , Shiva Shekhar ","Downloaded 4,256 times in the past 12 months
Cited 3 times",2024-06-26,2024-10-15,2024-11-21,111,2024,11
203,https://doi.org/10.1287/mnsc.2020.03743,Director Liability Protection and the Quality of Independent Directors,"Ronald W. Masulis , Sichen Shen , Hong Zou ","Downloaded 783 times in the past 12 months
Cited 3 times",2020-12-15,2024-04-14,2024-11-04,1216,2024,11
204,https://doi.org/10.1287/mnsc.2021.01145,Indirect Value of Public Infrastructure Technology,"Jialu Liu , Siqi Pei , Xiaoquan (Michael) Zhang","Downloaded 1,081 times in the past 12 months
Cited 0 times",2021-04-03,2024-05-23,2024-11-05,1146,2024,11
205,https://doi.org/10.1287/mnsc.2022.01169,Dynamic Contract Design in the Presence of Double Moral Hazard,"Feng Tian , Ekaterina Astashkina , Izak Duenyas","Downloaded 879 times in the past 12 months
Cited 1 times",2022-04-17,2024-03-26,2024-11-05,709,2024,11
206,https://doi.org/10.1287/mnsc.2022.01169,Dynamic Contract Design in the Presence of Double Moral Hazard,"Feng Tian , Ekaterina Astashkina , Izak Duenyas ","Downloaded 879 times in the past 12 months
Cited 1 times",2022-04-17,2024-03-26,2024-11-05,709,2024,11
207,https://doi.org/10.1287/mnsc.2023.03499,Instructions and Incentives in Organizations,"Kieron J. Meagher , Suraj Prasad , Andrew Wait","Downloaded 478 times in the past 12 months
Cited 1 times",2023-10-28,2024-09-08,2024-11-08,316,2024,11
208,https://doi.org/10.1287/mnsc.2023.00261,An Intertemporal Risk Factor Model,"Fousseni Chabi-Yo , Andrei S. Gonçalves , Johnathan A. Loudis","Downloaded 547 times in the past 12 months
Cited 2 times",2023-01-23,2024-05-08,2024-11-08,471,2024,11
209,https://doi.org/10.1287/mnsc.2023.00261,An Intertemporal Risk Factor Mod,"Fousseni Chabi-Yo , Andrei S. Gonçalves , Johnathan A. Loudis","Downloaded 547 times in the past 12 months
Cited 2 times",2023-01-23,2024-05-08,2024-11-08,471,2024,11
210,"https://doi.org/10.1287/mnsc.2023.03004
Abstract",The Value of Information Design in Supply Chain Management,"Ozan Candogan , Huseyin Gurkan","Downloaded 2,826 times in the past 12 months
Cited 1 times",2023-04-23,2023-12-14,2024-11-11,235,2024,11
211,https://doi.org/10.1287/mnsc.2023.01228,Optimal Control of Service Systems with Heterogeneous Servers and Priority Customers,"David Chen , Ruoran Chen , Rowan Wang , Xuan Wang","Downloaded 831 times in the past 12 months
Cited 0 times",2023-04-21,2024-05-31,2024-11-12,406,2024,11
212,https://doi.org/10.1287/mnsc.2021.03979,How to Staff When Customers Arrive in Batches,"Andrew Daw , Robert C. Hampshire , Jamol J. Pender","Downloaded 455 times in the past 12 months
Cited 2 times",2021-12-02,2024-02-28,2024-11-12,818,2024,11
213,"https://doi.org/10.1287/mnsc.2023.02247
Abstract","Media Conglomeration, Local News, and Capital Market Consequences","Travis Dyer , Mark Lang , Jun Oh","Downloaded 970 times in the past 12 months
Cited 2 times",2023-07-21,2024-02-21,2024-11-12,215,2024,11
214,https://doi.org/10.1287/mnsc.2021.02227,Solving the Price-Setting Newsvendor Problem with Parametric Operational Data Analytics (ODA),"Leon Yang Chu , Qi Feng , J. George Shanthikumar , Zuo-Jun Max Shen , Jian Wu ","Downloaded 1,002 times in the past 12 months
Cited 2 times",2021-07-07,2023-08-27,2024-11-13,781,2024,11
215,https://doi.org/10.1287/mnsc.2022.01557,Online Learning and Decision Making Under Generalized Linear Model with High-Dimensional Data,"Xue Wang , Mike Mingcheng Wei , Tao Yao ","Downloaded 758 times in the past 12 months
Cited 0 times",2022-06-03,2024-01-17,2024-11-13,593,2024,11
216,https://doi.org/10.1287/mnsc.2021.02949,The Blockchain Newsvendor: Value of Freshness Transparency and Smart Contracts,"N. Bora Keskin , Chenghuai Li , Jing-Sheng Song","Downloaded 3,225 times in the past 12 months
Cited 26 times",2021-09-01,2024-01-02,2024-11-14,853,2024,11
217,https://doi.org/10.1287/mnsc.2021.02949,The Blockchain Newsvendor: Value of Freshness Transparency and Smart Contracts,"N. Bora Keskin , Chenghuai Li , Jing-Sheng Song ","Downloaded 3,225 times in the past 12 months
Cited 26 times",2021-09-01,2024-01-02,2024-11-14,853,2024,11
218,https://doi.org/10.1287/mnsc.2021.03030,Avoiding Fields on Fire: Information Dissemination Policies for Environmentally Safe Crop-Residue Management,"Mehdi H. Farahani , Milind Dawande , Ganesh Janakiraman , Shouqiang Wang ","Downloaded 934 times in the past 12 months
Cited 1 times",2021-09-07,2024-01-01,2024-11-15,846,2024,11
219,https://doi.org/10.1287/mnsc.2023.03495,Employee Board Representation and Capital Investment,"Qinglu Jin, Hui Ma, Thomas Schmid , Guochang Zhang","Downloaded 1,085 times in the past 12 months
Cited 2 times",2023-10-28,2024-03-01,2024-11-15,125,2024,11
220,https://doi.org/10.1287/mnsc.2023.03495,Employee Board Representation and Capital Investment,"Qinglu Jin, Hui Ma, Thomas Schmid , Guochang Zhang ","Downloaded 1,085 times in the past 12 months
Cited 2 times",2023-10-28,2024-03-01,2024-11-15,125,2024,11
221,https://doi.org/10.1287/mnsc.2024.4992,Customer Voice on Two-Sided Platforms: The Effect of Surge Pricing on Customer Complaints,"Linli Xu , Yanhao “Max” Wei , Yi Zhu ","Downloaded 1,156 times in the past 12 months
Cited 1 times",2021-11-19,2022-09-13,2024-11-18,298,2024,11
222,https://doi.org/10.1287/mnsc.2023.00987,The Importance of Unemployment Risk for Individual Savings,"Ragnar E. Juelsrud , Ella Getz Wold","Downloaded 410 times in the past 12 months
Cited 0 times",2023-03-30,2024-01-22,2024-11-18,298,2024,11
223,https://doi.org/10.1287/mnsc.2021.01115,Penalty or Reward? The Effect of Social Disincentives on Online Users’ Contributions,"Wenqi Shen , Yan (Lucy) Liu , Yun (Alicia) Wang","Downloaded 1,162 times in the past 12 months
Cited 2 times",2021-04-01,2023-12-10,2024-11-19,983,2024,11
224,https://doi.org/10.1287/mnsc.2022.03628,Conditional Approval and Value-Based Pricing for New Health Technologies,"Özge Yapar , Stephen E. Chick , Noah Gans ","Downloaded 693 times in the past 12 months
Cited 2 times",2022-11-23,2024-10-02,2024-11-19,679,2024,11
225,https://doi.org/10.1287/mnsc.2023.01724,A Model of Shoppertainment Live Streaming,"Zheyin (Jane) Gu , Xuying Zhao , D. J. Wu","Downloaded 4,499 times in the past 12 months
Cited 13 times",2023-06-06,2024-10-11,2024-11-21,493,2024,11
226,https://doi.org/10.1287/mnsc.2024.06653,The Bright Side of the GDPR: Welfare-Improving Privacy Management,"Chongwoo Choe , Noriaki Matsushima , Shiva Shekhar","Downloaded 4,265 times in the past 12 months
Cited 3 times",2024-06-26,2024-10-15,2024-11-21,111,2024,11
227,https://doi.org/10.1287/mnsc.2022.01507,Decision Centralization and Learning from Experience in Groups: Separating Context from Aggregation Effects,"Sanghyun Park , Cleotilde Gonzalez , Phanish Puranam","Downloaded 2,678 times in the past 12 months
Cited 1 times",2022-05-21,2024-04-16,2024-11-22,696,2024,11
228,https://doi.org/10.1287/mnsc.2023.04088,Does Increasing the Riskiness of Choices Widen Gender Gaps?,"Samuel D. Hirshman , Alexander Willén","Downloaded 1,564 times in the past 12 months
Cited 0 times",2023-12-13,2024-08-04,2024-11-22,235,2024,11
229,https://doi.org/10.1287/mnsc.2023.00350,Playing Divide-and-Choose Given Uncertain Preferences,"Jamie Tucker-Foltz , Richard Zeckhause","Downloaded 415 times in the past 12 months
Cited 0 times",2023-01-31,2023-12-31,2024-11-25,334,2024,11
230,https://doi.org/10.1287/mnsc.2020.01306,Self-Regulation for Reputation-Sensitive Buyers: SA8000 in China,"Greg Distelhorst , Judith C. Stroehle , Duanyi Yang","Downloaded 669 times in the past 12 months
Cited 1 times",2020-05-05,2023-12-13,2024-11-25,1317,2024,11
231,https://doi.org/10.1287/mnsc.2021.00281,The Click-Based MNL Model: A Framework for Modeling Click Data in Assortment Optimization,"Ali Aouad , Jacob Feldman , Danny Segev , Dennis J. Zhang","Downloaded 1,211 times in the past 12 months
Cited 5 times",2021-02-11,2024-05-29,2024-11-25,1203,2024,11
232,https://doi.org/10.1287/mnsc.2022.01827,Noise Trading and Asset Pricing Factors,"Shiyang Huang , Yang Song , Hong Xiang","Downloaded 923 times in the past 12 months
Cited 2 times",2022-06-20,2024-01-02,2024-11-26,561,2024,11
233,https://doi.org/10.1287/mnsc.2023.02300,A Simple Approach for Measuring Higher-Order Arrow-Pratt Coefficients of Risk Aversion,"Cary Deck , Rachel J. Huang , Larry Y. Tzeng , Lin Zhao ","Downloaded 609 times in the past 12 months
Cited 1 times",2023-07-25,2024-09-17,2024-11-26,420,2024,11
234,https://doi.org/10.1287/mnsc.2022.02658,Labor-Replacing Automation and Finance,Labor-Replacing Automation and Finance,"Downloaded 1,577 times in the past 12 months
Cited 2 times",2022-08-29,2024-01-24,2024-11-27,513,2024,11
235,https://doi.org/10.1287/mnsc.2022.01092,Portfolio Optimization Based on Almost Second-Degree Stochastic Dominance,"Chunling Luo , Piao Chen , Patrick Jaillet","Downloaded 811 times in the past 12 months
Cited 7 times",2022-04-09,2024-04-01,2024-11-27,723,2024,11
236,https://doi.org/10.1287/mnsc.2022.01092,Portfolio Optimization Based on Almost Second-Degree Stochastic Dominance,"Chunling Luo , Piao Chen , Patrick Jaillet ","Downloaded 811 times in the past 12 months
Cited 7 times",2022-04-09,2024-04-01,2024-11-27,723,2024,11
237,https://doi.org/10.1287/mnsc.2021.04157,Should Individuals Choose Their Own Incentives? Evidence from a Mindfulness Meditation Intervention,"Andrej Woerner , Giorgia Romagnoli , Birgit M. Probst , Nina Bartmann , Jonathan N. Cloughesy , Jan Willem Lindemans ","Downloaded 796 times in the past 12 months
Cited 1 times",2021-12-17,2024-05-28,2024-11-28,893,2024,11
238,https://doi.org/10.1287/mnsc.2023.01033,Staggered Health Policy Adoption: Spillover Effects and Their Implications,"Vadim Elenev, Luis Quintero, Alessandro Rebucci , Emilia Simeonova","Downloaded 1,112 times in the past 12 months
Cited 3 time",2023-04-17,2024-04-16,2024-11-29,365,2024,11
239,https://doi.org/10.1287/mnsc.2022.01881,Reducing Marketplace Interference Bias via Shadow Prices,"Ido Bright , Arthur Delarue , Ilan Lobel ","Downloaded 804 times in the past 12 months
Cited 0 times",2022-06-24,2024-04-30,2024-11-29,676,2024,11
240,https://doi.org/10.1287/mnsc.2022.00334,Delaying Informed Consent: An Empirical Investigation of Mobile Apps’ Upgrade Decisions,"Raveesh Mayya , Siva Viswanathan ","Downloaded 1,195 times in the past 12 months
Cited 5 times",2022-02-02,2024-04-02,2024-12-02,790,2024,12
241,https://doi.org/10.1287/mnsc.2021.03132,Demand-Side Effects of Open Innovation: The Case of Cryptocurrency Forking,"Vasundhara Sharma , Ashish Agarwal , Anitesh Barua","Downloaded 1,125 times in the past 12 months
Cited 0 times",2021-09-16,2024-05-21,2024-12-02,978,2024,12
242,https://doi.org/10.1287/mnsc.2022.03495,Bank Competition and Risk-Taking Under Market Integration,"Kaniṣka Dam , Rajdeep Sengupta","Downloaded 581 times in the past 12 months
Cited 0 times",2022-11-17,2024-08-27,2024-12-03,649,2024,12
243,https://doi.org/10.1287/mnsc.2021.02115,Data-Driven Reliable Facility Location Design,"Hao Shen , Mengying Xue , Zuo-Jun Max Shen ","Downloaded 1,922 times in the past 12 months
Cited 2 time",2020-07-09,2023-12-29,2024-12-04,1268,2024,12
244,https://doi.org/10.1287/mnsc.2022.03281,"The Good, the Bad and the Picky: Consumer Heterogeneity and the Reversal of Product Ratings","Tommaso Bondi , Michelangelo Rossi , Ryan L. Stevens","Downloaded 1,533 times in the past 12 months
Cited 2 times",2022-10-23,2024-04-19,2024-12-04,544,2024,12
245,https://doi.org/10.1287/mnsc.2022.03770,Can Improvements to Mobile Internet Service Help Reduce Digital Inequality? An Empirical Analysis of Education and Overall Data Consumption,"Karthik Babu Nattamai Kannan , Eric Overby , Sridhar Narasimha","Downloaded 1,586 times in the past 12 months
Cited 2 times",2022-12-05,2024-04-25,2024-10-09,507,2024,10
246,https://doi.org/10.1287/mnsc.2023.00995,The Effect of Social Media on Corporate Innovation: Evidence from Seeking Alpha Coverage,"Qiyang He, Henry Leung , Buhui Qiu , Zhou Zhou","Downloaded 1,996 times in the past 12 months
Cited 4 time",2023-03-31,2024-04-17,2024-10-04,383,2024,10
247,https://doi.org/10.1287/mnsc.2023.03872,Lightning Network Economics: Topology,"Paolo Guasoni , Gur Huberman , Clara Shikhelman ","Downloaded 1,558 times in the past 12 months
Cited 2 times",2023-11-26,2024-07-24,2024-10-07,241,2024,10
248,https://doi.org/10.1287/mnsc.2023.03872,Lightning Network Economics: Topology,"Paolo Guasoni , Gur Huberman , Clara Shikhelman ","Downloaded 1,558 times in the past 12 months
Cited 2 times


",2023-11-26,2024-07-24,2024-10-07,241,2024,10
249,https://doi.org/10.1287/mnsc.2020.03112,Capturing the Benefits of Autonomous Vehicles in Ride Hailing: The Role of Market Configuration,"Zhen Lian , Garrett van Ryzin ","Downloaded 1,429 times in the past 12 months
Cited 4 times",2020-10-12,2024-04-20,2024-10-08,1286,2024,10
250,https://doi.org/10.1287/mnsc.2022.01519,Endogenous Risk Exposure and Systemic Instability,Chong Shu ,"Downloaded 405 times in the past 12 months
Cited 2 times",2022-05-23,2024-09-16,2024-10-08,847,2024,10
251,https://doi.org/10.1287/mnsc.2023.00152,The Loan Fee Anomaly: A Short Seller’s Best Ideas,"Joseph E. Engelberg , Richard B. Evans , Greg Leonard, Adam V. Reed , Matthew C. Ringgenberg ","Downloaded 437 times in the past 12 months
Cited 4 times",2023-01-13,2023-12-11,2024-10-09,332,2024,10
252,https://doi.org/10.1287/mnsc.2022.02684,Can Competition Increase Profits in Factor Investing?,"Victor DeMiguel , Alberto Martín-Utrera , Raman Uppal","Downloaded 434 times in the past 12 months
Cited 1 times",2022-08-31,2024-03-08,2024-10-09,555,2024,10
253,https://doi.org/10.1287/mnsc.2022.02684,Can Competition Increase Profits in Factor Investing?,"Victor DeMiguel , Alberto Martín-Utrera , Raman Uppa","Downloaded 434 times in the past 12 months
Cited 1 times",2022-08-31,2024-03-08,2024-10-09,555,2024,10
254,https://doi.org/10.1287/mnsc.2023.00920,A Minibatch Stochastic Gradient Descent-Based Learning Metapolicy for Inventory Systems with Myopic Optimal Policy,"Jiameng Lyu , Jinxing Xie , Shilin Yuan , Yuan Zhou ","Downloaded 668 times in the past 12 months
Cited 0 times",2023-03-23,2024-08-18,2024-10-09,514,2024,10
255,https://doi.org/10.1287/mnsc.2022.00201,Platform Financing vs. Trade Credit for Lending to Third-Party Sellers,"Rongyi Huang , Guoming Lai , Xiaofang Wang , Wenqiang Xiao ","Downloaded 1,668 times in the past 12 months
Cited 10 times",2022-01-21,2024-04-13,2024-10-10,813,2024,10
256,https://doi.org/10.1287/mnsc.2023.01309,The Liquidity Premium of Digital Payment Vehicle,"Zefeng Chen , Zhengyang Jiang","Downloaded 580 times in the past 12 months
Cited 2 times",2023-04-29,2024-04-19,2024-10-10,356,2024,10
